日平均相對濕度(百分比) - 天文台
Daily Mean Relative Humidity (%) at the Hong Kong Observatory
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2024,1,1,75,C
2024,1,2,76,C
2024,1,3,64,C
2024,1,4,67,C
2024,1,5,75,C
2024,1,6,76,C
2024,1,7,71,C
2024,1,8,73,C
2024,1,9,77,C
2024,1,10,67,C
2024,1,11,69,C
2024,1,12,75,C
2024,1,13,57,C
2024,1,14,56,C
2024,1,15,71,C
2024,1,16,75,C
2024,1,17,72,C
2024,1,18,74,C
2024,1,19,76,C
2024,1,20,75,C
2024,1,21,68,C
2024,1,22,72,C
2024,1,23,75,C
2024,1,24,59,C
2024,1,25,56,C
2024,1,26,61,C
2024,1,27,67,C
2024,1,28,83,C
2024,1,29,82,C
2024,1,30,88,C
2024,1,31,92,C
2024,2,1,92,C
2024,2,2,88,C
2024,2,3,85,C
2024,2,4,92,C
2024,2,5,86,C
2024,2,6,86,C
2024,2,7,90,C
2024,2,8,84,C
2024,2,9,77,C
2024,2,10,72,C
2024,2,11,60,C
2024,2,12,55,C
2024,2,13,71,C
2024,2,14,78,C
2024,2,15,70,C
2024,2,16,77,C
2024,2,17,82,C
2024,2,18,87,C
2024,2,19,88,C
2024,2,20,87,C
2024,2,21,82,C
2024,2,22,87,C
2024,2,23,85,C
2024,2,24,73,C
2024,2,25,71,C
2024,2,26,76,C
2024,2,27,73,C
2024,2,28,85,C
2024,2,29,85,C
2024,3,1,72,C
2024,3,2,74,C
2024,3,3,81,C
2024,3,4,91,C
2024,3,5,87,C
2024,3,6,85,C
2024,3,7,72,C
2024,3,8,64,C
2024,3,9,73,C
2024,3,10,83,C
2024,3,11,91,C
2024,3,12,61,C
2024,3,13,66,C
2024,3,14,71,C
2024,3,15,79,C
2024,3,16,88,C
2024,3,17,86,C
2024,3,18,92,C
2024,3,19,69,C
2024,3,20,54,C
2024,3,21,65,C
2024,3,22,83,C
2024,3,23,84,C
2024,3,24,77,C
2024,3,25,79,C
2024,3,26,79,C
2024,3,27,82,C
2024,3,28,82,C
2024,3,29,81,C
2024,3,30,80,C
2024,3,31,84,C
2024,4,1,81,C
2024,4,2,80,C
2024,4,3,80,C
2024,4,4,81,C
2024,4,5,81,C
2024,4,6,89,C
2024,4,7,88,C
2024,4,8,87,C
2024,4,9,78,C
2024,4,10,68,C
2024,4,11,77,C
2024,4,12,78,C
2024,4,13,77,C
2024,4,14,78,C
2024,4,15,79,C
2024,4,16,77,C
2024,4,17,78,C
2024,4,18,80,C
2024,4,19,80,C
2024,4,20,81,C
2024,4,21,90,C
2024,4,22,90,C
2024,4,23,91,C
2024,4,24,88,C
2024,4,25,86,C
2024,4,26,88,C
2024,4,27,85,C
2024,4,28,90,C
2024,4,29,85,C
2024,4,30,81,C
2024,5,1,92,C
2024,5,2,88,C
2024,5,3,87,C
2024,5,4,93,C
2024,5,5,86,C
2024,5,6,82,C
2024,5,7,80,C
2024,5,8,76,C
2024,5,9,68,C
2024,5,10,72,C
2024,5,11,81,C
2024,5,12,85,C
2024,5,13,81,C
2024,5,14,64,C
2024,5,15,62,C
2024,5,16,60,C
2024,5,17,71,C
2024,5,18,71,C
2024,5,19,83,C
2024,5,20,92,C
2024,5,21,95,C
2024,5,22,91,C
2024,5,23,91,C
2024,5,24,92,C
2024,5,25,91,C
2024,5,26,87,C
2024,5,27,85,C
2024,5,28,83,C
2024,5,29,70,C
2024,5,30,86,C
2024,5,31,91,C
2024,6,1,88,C
2024,6,2,84,C
2024,6,3,91,C
2024,6,4,86,C
2024,6,5,90,C
2024,6,6,88,C
2024,6,7,92,C
2024,6,8,90,C
2024,6,9,93,C
2024,6,10,85,C
2024,6,11,84,C
2024,6,12,83,C
2024,6,13,83,C
2024,6,14,82,C
2024,6,15,86,C
2024,6,16,86,C
2024,6,17,80,C
2024,6,18,81,C
2024,6,19,80,C
2024,6,20,82,C
2024,6,21,76,C
2024,6,22,75,C
2024,6,23,78,C
2024,6,24,77,C
2024,6,25,79,C
2024,6,26,79,C
2024,6,27,79,C
2024,6,28,75,C
2024,6,29,82,C
2024,6,30,79,C
2024,7,1,78,C
2024,7,2,79,C
2024,7,3,78,C
2024,7,4,78,C
2024,7,5,76,C
2024,7,6,77,C
2024,7,7,74,C
2024,7,8,72,C
2024,7,9,72,C
2024,7,10,75,C
2024,7,11,78,C
2024,7,12,84,C
2024,7,13,76,C
2024,7,14,82,C
2024,7,15,85,C
2024,7,16,86,C
2024,7,17,83,C
2024,7,18,88,C
2024,7,19,89,C
2024,7,20,85,C
2024,7,21,83,C
2024,7,22,80,C
2024,7,23,76,C
2024,7,24,80,C
2024,7,25,78,C
2024,7,26,85,C
2024,7,27,88,C
2024,7,28,94,C
2024,7,29,89,C
2024,7,30,89,C
2024,7,31,88,C
2024,8,1,79,C
2024,8,2,81,C
2024,8,3,76,C
2024,8,4,76,C
2024,8,5,76,C
2024,8,6,78,C
2024,8,7,79,C
2024,8,8,77,C
2024,8,9,76,C
2024,8,10,79,C
2024,8,11,81,C
2024,8,12,85,C
2024,8,13,82,C
2024,8,14,82,C
2024,8,15,88,C
2024,8,16,84,C
2024,8,17,92,C
2024,8,18,87,C
2024,8,19,88,C
2024,8,20,89,C
2024,8,21,87,C
2024,8,22,83,C
2024,8,23,82,C
2024,8,24,77,C
2024,8,25,75,C
2024,8,26,75,C
2024,8,27,74,C
2024,8,28,75,C
2024,8,29,76,C
2024,8,30,82,C
2024,8,31,84,C
2024,9,1,82,C
2024,9,2,78,C
2024,9,3,78,C
2024,9,4,75,C
2024,9,5,71,C
2024,9,6,90,C
2024,9,7,88,C
2024,9,8,91,C
2024,9,9,85,C
2024,9,10,77,C
2024,9,11,76,C
2024,9,12,77,C
2024,9,13,73,C
2024,9,14,76,C
2024,9,15,76,C
2024,9,16,81,C
2024,9,17,74,C
2024,9,18,73,C
2024,9,19,75,C
2024,9,20,79,C
2024,9,21,90,C
2024,9,22,88,C
2024,9,23,90,C
2024,9,24,91,C
2024,9,25,83,C
2024,9,26,78,C
2024,9,27,76,C
2024,9,28,80,C
2024,9,29,76,C
2024,9,30,71,C

*** 沒有數據/unavailable
# 數據不完整/data incomplete
C 數據完整/data Complete
